Date,Building,Electricity_Units,Water_Usage_Liters,Rooms_Used,Total_Rooms,Data_Type,Utilization_Percentage,Time_Slot,per_room_electricity,per_room_water
01-04-2026,A,796.0,11030.0,35,50,historical,70.0,,22.742857142857144,315.14285714285717
01-04-2026,B,1206.0,14899.0,46,60,historical,76.66666666666667,,26.217391304347824,323.89130434782606
01-04-2026,C,795.0,10777.0,24,33,historical,72.72727272727273,,33.125,449.0416666666667
01-04-2026,D,602.0,5994.0,15,28,historical,53.57142857142857,,40.13333333333333,399.6
02-04-2026,A,859.0,11654.0,34,50,historical,68.0,,25.264705882352942,342.7647058823529
02-04-2026,B,1122.0,13431.0,54,60,historical,90.0,,20.77777777777778,248.72222222222223
02-04-2026,C,710.0,10356.0,28,33,historical,84.84848484848484,,25.357142857142858,369.85714285714283
02-04-2026,D,639.0,4747.0,17,28,historical,60.71428571428571,,37.588235294117645,279.2352941176471
03-04-2026,A,830.0,9290.0,42,50,historical,84.0,,19.761904761904763,221.1904761904762
03-04-2026,B,1228.0,14459.0,53,60,historical,88.33333333333333,,23.169811320754718,272.811320754717
03-04-2026,C,661.0,10021.0,27,33,historical,81.81818181818183,,24.48148148148148,371.14814814814815
03-04-2026,D,690.0,5678.0,13,28,historical,46.42857142857143,,53.07692307692308,436.7692307692308
04-04-2026,A,765.0,11836.0,45,50,historical,90.0,,17.0,263.02222222222224
04-04-2026,B,1238.0,14045.0,43,60,historical,71.66666666666667,,28.790697674418606,326.6279069767442
04-04-2026,C,655.0,9394.0,28,33,historical,84.84848484848484,,23.392857142857142,335.5
04-04-2026,D,594.0,4046.0,22,28,historical,78.57142857142857,,27.0,183.9090909090909
05-04-2026,A,790.0,11815.0,31,50,historical,62.0,,25.483870967741936,381.1290322580645
05-04-2026,B,1128.0,15522.0,43,60,historical,71.66666666666667,,26.232558139534884,360.9767441860465
05-04-2026,C,650.0,8228.0,18,33,historical,54.54545454545454,,36.111111111111114,457.1111111111111
05-04-2026,D,588.0,4553.0,17,28,historical,60.71428571428571,,34.588235294117645,267.8235294117647
06-04-2026,A,806.0,10524.0,35,50,historical,70.0,,23.02857142857143,300.6857142857143
06-04-2026,B,1128.0,12370.0,48,60,historical,80.0,,23.5,257.7083333333333
06-04-2026,C,787.0,9665.0,19,33,historical,57.57575757575758,,41.421052631578945,508.6842105263158
06-04-2026,D,626.0,4631.0,13,28,historical,46.42857142857143,,48.15384615384615,356.2307692307692
07-04-2026,A,854.0,9975.0,34,50,historical,68.0,,25.11764705882353,293.38235294117646
07-04-2026,B,1197.0,14146.0,42,60,historical,70.0,,28.5,336.8095238095238
07-04-2026,C,653.0,9145.0,19,33,historical,57.57575757575758,,34.36842105263158,481.3157894736842
07-04-2026,D,634.0,4206.0,12,28,historical,42.857142857142854,,52.833333333333336,350.5
08-04-2026,A,802.0,9870.0,44,50,historical,88.0,,18.227272727272727,224.3181818181818
08-04-2026,B,1107.0,12464.0,40,60,historical,66.66666666666666,,27.675,311.6
08-04-2026,C,665.0,8751.0,16,33,historical,48.484848484848484,,41.5625,546.9375
08-04-2026,D,611.0,5584.0,21,28,historical,75.0,,29.095238095238095,265.9047619047619
09-04-2026,A,897.0,10662.0,32,50,historical,64.0,,28.03125,333.1875
09-04-2026,B,1073.0,13728.0,40,60,historical,66.66666666666666,,26.825,343.2
09-04-2026,C,695.0,10709.0,15,33,historical,45.45454545454545,,46.333333333333336,713.9333333333333
09-04-2026,D,566.0,5810.0,19,28,historical,67.85714285714286,,29.789473684210527,305.7894736842105
10-04-2026,A,865.0,10143.0,31,50,historical,62.0,,27.903225806451612,327.19354838709677
10-04-2026,B,1170.0,12105.0,51,60,historical,85.0,,22.941176470588236,237.35294117647058
10-04-2026,C,675.0,8470.0,19,33,historical,57.57575757575758,,35.526315789473685,445.7894736842105
10-04-2026,D,633.0,4249.0,21,28,historical,75.0,,30.142857142857142,202.33333333333334
11-04-2026,A,753.0,10090.0,37,50,historical,74.0,,20.35135135135135,272.7027027027027
11-04-2026,B,1106.0,12295.0,45,60,historical,75.0,,24.57777777777778,273.22222222222223
11-04-2026,C,671.0,9057.0,17,33,historical,51.515151515151516,,39.470588235294116,532.7647058823529
11-04-2026,D,577.0,5325.0,18,28,historical,64.28571428571429,,32.05555555555556,295.8333333333333
12-04-2026,A,823.0,9685.0,37,50,historical,74.0,,22.243243243243242,261.7567567567568
12-04-2026,B,1128.0,12388.0,46,60,historical,76.66666666666667,,24.52173913043478,269.30434782608694
12-04-2026,C,674.0,9131.0,16,33,historical,48.484848484848484,,42.125,570.6875
12-04-2026,D,676.0,4191.0,13,28,historical,46.42857142857143,,52.0,322.38461538461536
13-04-2026,A,860.0,9235.0,39,50,historical,78.0,,22.05128205128205,236.7948717948718
13-04-2026,B,1270.0,12754.0,44,60,historical,73.33333333333333,,28.863636363636363,289.8636363636364
13-04-2026,C,743.0,8525.0,15,33,historical,45.45454545454545,,49.53333333333333,568.3333333333334
13-04-2026,D,602.0,5128.0,16,28,historical,57.14285714285714,,37.625,320.5
14-04-2026,A,829.0,9713.0,30,50,historical,60.0,,27.633333333333333,323.76666666666665
14-04-2026,B,1080.0,13837.0,54,60,historical,90.0,,20.0,256.24074074074076
14-04-2026,C,776.0,8542.0,20,33,historical,60.60606060606061,,38.8,427.1
14-04-2026,D,559.0,4950.0,15,28,historical,53.57142857142857,,37.266666666666666,330.0
15-04-2026,A,873.0,9050.0,38,50,historical,76.0,,22.973684210526315,238.1578947368421
15-04-2026,B,1207.0,13443.0,48,60,historical,80.0,,25.145833333333332,280.0625
15-04-2026,C,684.0,9954.0,16,33,historical,48.484848484848484,,42.75,622.125
15-04-2026,D,568.0,4385.0,13,28,historical,46.42857142857143,,43.69230769230769,337.3076923076923
16-04-2026,A,850.0,9563.0,32,50,historical,64.0,,26.5625,298.84375
16-04-2026,B,1088.0,14906.0,41,60,historical,68.33333333333333,,26.536585365853657,363.5609756097561
16-04-2026,C,665.0,10399.0,17,33,historical,51.515151515151516,,39.11764705882353,611.7058823529412
16-04-2026,D,556.0,5714.0,16,28,historical,57.14285714285714,,34.75,357.125
17-04-2026,A,862.0,11591.0,39,50,historical,78.0,,22.102564102564102,297.20512820512823
17-04-2026,B,1172.0,13680.0,46,60,historical,76.66666666666667,,25.47826086956522,297.39130434782606
17-04-2026,C,696.0,9568.0,17,33,historical,51.515151515151516,,40.94117647058823,562.8235294117648
17-04-2026,D,608.0,5478.0,14,28,historical,50.0,,43.42857142857143,391.2857142857143
18-04-2026,A,858.0,10800.0,30,50,historical,60.0,,28.6,360.0
18-04-2026,B,1068.0,13558.0,52,60,historical,86.66666666666667,,20.53846153846154,260.7307692307692
18-04-2026,C,783.0,8863.0,22,33,historical,66.66666666666666,,35.59090909090909,402.8636363636364
18-04-2026,D,662.0,5842.0,18,28,historical,64.28571428571429,,36.77777777777778,324.55555555555554
19-04-2026,A,793.0,10429.0,45,50,historical,90.0,,17.622222222222224,231.75555555555556
19-04-2026,B,1072.0,15020.0,42,60,historical,70.0,,25.523809523809526,357.6190476190476
19-04-2026,C,749.0,8889.0,21,33,historical,63.63636363636363,,35.666666666666664,423.2857142857143
19-04-2026,D,670.0,4469.0,21,28,historical,75.0,,31.904761904761905,212.8095238095238
20-04-2026,A,892.0,11144.0,33,50,historical,66.0,,27.03030303030303,337.6969696969697
20-04-2026,B,1142.0,12289.0,45,60,historical,75.0,,25.377777777777776,273.0888888888889
20-04-2026,C,712.0,9982.0,20,33,historical,60.60606060606061,,35.6,499.1
20-04-2026,D,683.0,5399.0,19,28,historical,67.85714285714286,,35.94736842105263,284.1578947368421
21-04-2026,A,857.0,9891.0,44,50,historical,88.0,,19.477272727272727,224.79545454545453
21-04-2026,B,1172.0,15489.0,44,60,historical,73.33333333333333,,26.636363636363637,352.02272727272725
21-04-2026,C,774.0,9397.0,26,33,historical,78.78787878787878,,29.76923076923077,361.4230769230769
21-04-2026,D,602.0,4839.0,20,28,historical,71.42857142857143,,30.1,241.95
22-04-2026,A,761.0,10786.0,44,50,historical,88.0,,17.295454545454547,245.13636363636363
22-04-2026,B,1201.0,14903.0,47,60,historical,78.33333333333333,,25.5531914893617,317.0851063829787
22-04-2026,C,762.0,8187.0,21,33,historical,63.63636363636363,,36.285714285714285,389.85714285714283
22-04-2026,D,692.0,5907.0,21,28,historical,75.0,,32.95238095238095,281.2857142857143
23-04-2026,A,776.0,10267.0,33,50,historical,66.0,,23.515151515151516,311.1212121212121
23-04-2026,B,1242.0,13231.0,50,60,historical,83.33333333333334,,24.84,264.62
23-04-2026,C,769.0,9775.0,22,33,historical,66.66666666666666,,34.95454545454545,444.3181818181818
23-04-2026,D,564.0,4724.0,13,28,historical,46.42857142857143,,43.38461538461539,363.38461538461536
24-04-2026,A,797.0,9017.0,41,50,historical,82.0,,19.4390243902439,219.9268292682927
24-04-2026,B,1253.0,13882.0,53,60,historical,88.33333333333333,,23.641509433962263,261.92452830188677
24-04-2026,C,744.0,8243.0,20,33,historical,60.60606060606061,,37.2,412.15
24-04-2026,D,649.0,5969.0,21,28,historical,75.0,,30.904761904761905,284.23809523809524
25-04-2026,A,878.0,11263.0,39,50,historical,78.0,,22.512820512820515,288.79487179487177
25-04-2026,B,1204.0,12243.0,50,60,historical,83.33333333333334,,24.08,244.86
25-04-2026,C,652.0,9976.0,16,33,historical,48.484848484848484,,40.75,623.5
25-04-2026,D,648.0,5508.0,19,28,historical,67.85714285714286,,34.10526315789474,289.89473684210526
26-04-2026,A,774.0,10227.0,40,50,historical,80.0,,19.35,255.675
26-04-2026,B,1249.0,12195.0,44,60,historical,73.33333333333333,,28.386363636363637,277.15909090909093
26-04-2026,C,735.0,9962.0,28,33,historical,84.84848484848484,,26.25,355.7857142857143
26-04-2026,D,677.0,5233.0,20,28,historical,71.42857142857143,,33.85,261.65
27-04-2026,A,804.0,10701.0,43,50,historical,86.0,,18.697674418604652,248.86046511627907
27-04-2026,B,1270.0,13099.0,45,60,historical,75.0,,28.22222222222222,291.0888888888889
27-04-2026,C,738.0,9704.0,15,33,historical,45.45454545454545,,49.2,646.9333333333333
27-04-2026,D,598.0,4836.0,16,28,historical,57.14285714285714,,37.375,302.25
28-04-2026,A,765.0,9135.0,39,50,historical,78.0,,19.615384615384617,234.23076923076923
28-04-2026,B,1077.0,12026.0,53,60,historical,88.33333333333333,,20.32075471698113,226.9056603773585
28-04-2026,C,695.0,9656.0,28,33,historical,84.84848484848484,,24.821428571428573,344.85714285714283
28-04-2026,D,566.0,4664.0,17,28,historical,60.71428571428571,,33.294117647058826,274.3529411764706
29-04-2026,A,793.0,9732.0,45,50,historical,90.0,,17.622222222222224,216.26666666666668
29-04-2026,B,1121.0,14880.0,54,60,historical,90.0,,20.75925925925926,275.55555555555554
29-04-2026,C,721.0,10144.0,22,33,historical,66.66666666666666,,32.77272727272727,461.09090909090907
29-04-2026,D,680.0,5707.0,21,28,historical,75.0,,32.38095238095238,271.76190476190476
30-04-2026,A,804.0,10457.0,34,50,historical,68.0,,23.647058823529413,307.55882352941177
30-04-2026,B,1244.0,13560.0,48,60,historical,80.0,,25.916666666666668,282.5
30-04-2026,C,764.0,8002.0,17,33,historical,51.515151515151516,,44.94117647058823,470.70588235294116
30-04-2026,D,633.0,5700.0,16,28,historical,57.14285714285714,,39.5625,356.25
01-05-2026,A,816.0,11794.0,45,50,historical,90.0,,18.133333333333333,262.0888888888889
01-05-2026,B,1227.0,12628.0,48,60,historical,80.0,,25.5625,263.0833333333333
